race_id,日付,会場,芝ダ,現在馬場_芝,現在馬場_ダート,推定馬場_芝,推定馬場_ダート,クッション値,含水率,降水量_mm,天候,使用コース,取得状態,記録日時
20260704_fs10,20260704,福島,dart,重,不良,重,不良,,,,曇,A,手動,2026-07-04 01:02:50
20260704_fs11,20260704,福島,dart,重,不良,重,不良,,,,曇,A,手動,2026-07-04 01:02:56
20260704_fs12,20260704,福島,turf,重,不良,重,不良,,,,曇,A,手動,2026-07-04 01:03:00
20260704_fs8,20260704,福島,dart,重,不良,重,不良,,,,曇,A,手動,2026-07-04 01:03:03
20260704_fs9,20260704,福島,turf,重,不良,重,不良,,,,曇,A,手動,2026-07-04 01:03:07
20260704_hd10,20260704,函館,dart,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:12
20260704_hd11,20260704,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:16
20260704_hd12,20260704,函館,dart,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:21
20260704_hd7,20260704,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:27
20260704_hd8,20260704,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:31
20260704_hd9,20260704,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 01:03:36
20260704_kk10,20260704,小倉,dart,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 01:03:40
20260704_kk11,20260704,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 01:03:45
20260704_kk12,20260704,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 01:03:49
20260704_kk8,20260704,小倉,dart,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 01:03:54
20260704_kk9,20260704,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 01:03:58
20260705_fs10,20260705,福島,turf,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:33
20260705_fs11,20260705,福島,dart,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:37
20260705_fs12,20260705,福島,dart,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:40
20260705_fs7,20260705,福島,dart,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:44
20260705_fs8,20260705,福島,turf,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:47
20260705_fs9,20260705,福島,turf,稍重,稍重,稍重,稍重,,,,曇,A,手動,2026-07-04 22:46:51
20260705_hd10,20260705,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 22:46:56
20260705_hd11,20260705,函館,dart,良,良,良,良,,,,晴,A,手動,2026-07-04 22:47:01
20260705_hd12,20260705,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 22:47:06
20260705_hd7,20260705,函館,dart,良,良,良,良,,,,晴,A,手動,2026-07-04 22:47:12
20260705_hd8,20260705,函館,dart,良,良,良,良,,,,晴,A,手動,2026-07-04 22:47:17
20260705_hd9,20260705,函館,turf,良,良,良,良,,,,晴,A,手動,2026-07-04 22:47:21
20260705_kk10,20260705,小倉,dart,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 22:47:25
20260705_kk11,20260705,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 22:47:29
20260705_kk12,20260705,小倉,dart,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 22:47:32
20260705_kk8,20260705,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 22:47:36
20260705_kk9,20260705,小倉,turf,良,稍重,良,稍重,,,,曇,A,手動,2026-07-04 22:47:39
20260711_fs10,20260711,福島,turf,良,良,良,良,,,,晴,B,手動,2026-07-11 00:02:59
20260711_fs12,20260711,福島,dart,良,良,良,良,,,,晴,B,手動,2026-07-11 00:03:10
20260711_fs7,20260711,福島,turf,良,良,良,良,,,,晴,B,手動,2026-07-11 00:03:14
20260711_fs8,20260711,福島,dart,良,良,良,良,,,,晴,B,手動,2026-07-11 00:03:18
20260711_fs9,20260711,福島,turf,良,良,良,良,,,,晴,B,手動,2026-07-11 00:03:22
20260711_kk10,20260711,小倉,turf,良,良,良,良,,,,晴,A,手動,2026-07-11 00:03:56
20260711_kk11,20260711,小倉,dart,良,良,良,良,,,,晴,A,手動,2026-07-11 00:04:00
20260711_kk12,20260711,小倉,turf,良,良,良,良,,,,晴,A,手動,2026-07-11 00:04:03
20260711_kk7,20260711,小倉,turf,良,良,良,良,,,,晴,A,手動,2026-07-11 00:04:08
20260711_kk8,20260711,小倉,dart,良,良,良,良,,,,晴,A,手動,2026-07-11 00:04:12
20260711_kk9,20260711,小倉,turf,良,良,良,良,,,,晴,A,手動,2026-07-11 00:04:16
20260711_fs11,20260711,福島,turf,良,良,良,良,,,,晴,B,手動,2026-07-11 00:11:32
20260711_hd10,20260711,函館,turf,稍重,重,稍重,重,,,,曇,B,手動,2026-07-11 00:48:46
20260711_hd11,20260711,函館,turf,稍重,重,稍重,重,,,,曇,B,手動,2026-07-11 00:48:54
20260711_hd12,20260711,函館,dart,稍重,重,稍重,重,,,,曇,B,手動,2026-07-11 00:49:00
20260711_hd7,20260711,函館,turf,稍重,重,稍重,重,,,,曇,B,手動,2026-07-11 00:49:07
