Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 3.29",中京,1名6,2勝,鈴鹿特別･2勝,6,11,コーラルクラウン,牡,4,川田将雅, 58 ,16,1,１, ,ダ1400,良,,(栗),福永祐一,1245,-0.1,,3,3,36.3,484,-4,
,"2026. 3.29",中京,1名6,Ｇ１,高松宮記G1,5,9,サトノレーヴ,牡,7,ルメール, 58 ,18,1,１, ,芝1200,良,,(美),堀宣行,1063,-0.3,,10,10,32.4,530,-2,
,"2026. 3.29",中京,1名6,3勝,伊勢ＳＨ･3勝,5,8,ゴールデンクラウド,牡,4,西村淳也, 57 ,15,1,１, ,ダ1900,良,,(栗),小林真也,1586,-0.1,2,2,2,36.8,526,-6,
,"2026. 3.29",中京,1名6,1勝,１勝ｸﾗｽ,3,6,アンダーザライト,牡,4,団野大成, 58 ,16,2,１, ,芝1600,良,,(美),宮田敬介,1337,-0.0,5,4,5,33.6,532,-2,
,"2026. 3.29",中京,1名6,1勝,大寒桜賞･1勝,7,7,テルヒコウ,牡,3,西村淳也, 57 ,7,4,１, ,芝2200,良,,(栗),矢作芳人,2141,-0.1,1,1,1,34.6,482,0,
,"2026. 3.29",中京,1名6,1勝,１勝ｸﾗｽ・牝,8,12,アイブリンク,牝,4,松山弘平, 56 ,13,2,１, ,ダ1800,良,,(栗),大久保龍,1539,-0.0,10,8,8,36.9,472,-6,
,"2026. 3.29",中京,1名6,1勝,１勝ｸﾗｽ,4,5,メイショウアイル,牡,4,武豊, 57 ,13,6,１, ,芝2200,良,,(栗),高橋義忠,2116,-0.3,3,3,3,34.4,478,-2,
,"2026. 3.29",中京,1名6,未勝利,未勝利,4,7,エンジョイドアスク,牝,3,ルメール, 55 ,16,1,１, ,芝2000,良,,(美),堀宣行,2024,-0.2,8,6,6,33.8,484,,
,"2026. 3.29",中京,1名6,未勝利,未勝利,1,2,メローネ,牝,3,松山弘平, 55 ,18,2,１, ,芝1200,良,,(栗),西園翔太,1088,-0.1,,4,6,34.0,410,+8,
,"2026. 3.29",中京,1名6,未勝利,未勝利,4,7,ロイヤルスパイア,牡,3,川田将雅, 57 ,15,1,１, ,ダ1200,良,,(美),栗田徹,1130,-0.1,,3,3,36.6,460,0,
,"2026. 3.29",中京,1名6,未勝利,未勝利,1,1,メイショウペイト,牡,3,加藤祥太, 57 ,14,9,１, ,ダ1900,良,,(栗),梅田智之,2021,-0.0,10,11,8,37.3,528,-2,
,"2026. 3.29",中京,1名6,未勝利,未勝利・牝,6,12,ルビドゥソレイユ,牝,3,ルメール, 55 ,16,1,１, ,ダ1400,良,,(栗),田中克典,1250,-0.2,,3,3,36.9,474,-2,
,"2026. 3.28",中京,1名5,2勝,フィリピ･2勝,6,11,ノクナレア,牝,4,吉田隼人, 56 ,16,1,１, ,芝1400,良,,(栗),今野貞一,1210,-0.0,,5,5,33.7,448,-4,
,"2026. 3.28",中京,1名5,3勝,マレーシ･3勝,1,2,ルージュソリテール,牝,4,西塚洸二, 56 ,16,1,１, ,芝1600,良,,(栗),藤原英昭,1322,-0.1,4,4,4,34.0,428,-6,
,"2026. 3.28",中京,1名5,2勝,ターフオ･2勝,6,8,ディーガレジェンド,牡,5,西塚洸二, 58 ,12,7,１, ,芝2200,良,,(栗),藤原英昭,2153,-0.1,1,1,1,33.7,470,0,B
,"2026. 3.28",中京,1名5,1勝,ロイヤル･1勝,3,3,ディズレーリ,セ,6,小沢大仁, 58 ,9,8,１, ,ダ1900,稍,,(美),池上昌和,1596,-0.3,8,5,4,37.5,520,-4,B
,"2026. 3.28",中京,1名5,1勝,１勝ｸﾗｽ,5,9,ダノンカゼルタ,セ,4,舟山瑠泉,55▲,15,9,１, ,芝2000,良,,(栗),寺島良,2014,-0.0,4,3,3,33.9,492,-2,
,"2026. 3.28",中京,1名5,1勝,１勝ｸﾗｽ・牝,1,1,キスアンドクライ,牝,4,小沢大仁, 56 ,16,4,１, ,芝1600,良,,(栗),橋口慎介,1344,-0.2,2,2,2,33.8,452,+6,
,"2026. 3.28",中京,1名5,1勝,１勝ｸﾗｽ,1,1,ホウオウゴールド,牡,4,高杉吏麒, 58 ,16,3,１, ,ダ1400,稍,,(美),栗田徹,1241,-0.2,,12,11,35.6,478,-2,
,"2026. 3.28",中京,1名5,未勝利,未勝利,7,12,マイバレンタイン,牡,3,田口貫太, 57 ,15,4,１, ,芝2200,良,,(栗),池江泰寿,2132,-0.0,3,4,3,35.8,512,-2,
,"2026. 3.28",中京,1名5,未勝利,未勝利・若,6,9,アスクドゥチャンプ,牡,3,西塚洸二, 57 ,14,2,１, ,ダ1800,稍,,(栗),藤原英昭,1541,-0.0,11,8,7,37.7,490,-8,B
,"2026. 3.28",中京,1名5,未勝利,未勝利,1,2,ラプランセス,牝,3,岩田康誠, 55 ,16,1,１, ,芝1600,良,,(美),斎藤誠,1344,-0.0,1,1,1,34.8,468,+6,
,"2026. 3.28",中京,1名5,未勝利,未勝利・牝,8,13,キタノサリスカ,牝,3,川端海翼,52▲,13,11,１, ,ダ1800,稍,,(栗),羽月友彦,1552,-0.4,3,3,2,38.6,426,+4,
,"2026. 3.28",中京,1名5,未勝利,未勝利,3,6,リサシテーション,牡,3,柴田裕一,55△,16,8,１, ,ダ1400,稍,,(栗),岡田稲男,1249,-0.2,,13,13,36.6,466,+8,
,"2026. 3.22",中京,1名4,1勝,１勝ｸﾗｽ,3,6,シルフズミスチーフ,牝,4,今村聖奈,54◇,16,1,１, ,ダ1200,良,,(栗),池江泰寿,1122,-0.0,,4,4,36.5,464,+4,
,"2026. 3.22",中京,1名4,Ｇ３,愛知杯G3,8,18,アイサンサン,牝,4,幸英明, 55 ,18,12,１, ,芝1400,良,,(栗),橋田宜長,1196,-0.0,,1,1,34.2,458,-4,
,"2026. 3.22",中京,1名4,2勝,弥富特別･2勝,5,9,タイセイアディクト,牡,5,横山武史, 58 ,16,5,１, ,ダ1900,良,,(美),池上昌和,1595,-0.1,14,9,8,36.8,500,-8,
,"2026. 3.22",中京,1名4,1勝,フローラ･1勝,7,8,テーオーアルアイン,牡,3,団野大成, 57 ,10,8,１, ,芝1600,良,,(栗),奥村豊,1337,-0.2,7,7,7,33.1,482,-4,
,"2026. 3.22",中京,1名4,1勝,１勝ｸﾗｽ,6,12,チムグクル,牡,4,小崎綾也, 58 ,18,1,１, ,芝1400,良,,(栗),福永祐一,1203,-0.0,,7,6,34.0,452,0,
,"2026. 3.22",中京,1名4,1勝,１勝ｸﾗｽ,7,13,テルアスワッド,セ,4,田山旺佑,55▲,15,8,１, ,ダ1800,良,,(栗),須貝尚介,1543,-0.2,1,2,2,37.0,486,-6,B
,"2026. 3.22",中京,1名4,1勝,１勝ｸﾗｽ・牝,1,2,サラスヴァティー,牝,4,横山武史, 56 ,17,1,１, ,芝2000,良,,(美),森一誠,1595,-0.1,3,3,3,34.4,474,-4,
,"2026. 3.22",中京,1名4,未勝利,未勝利,2,3,エンヴェロップ,牝,3,吉村誠之, 55 ,16,6,１, ,芝1600,良,,(栗),佐藤悠太,1339,-0.1,3,5,3,34.7,452,-8,
,"2026. 3.22",中京,1名4,未勝利,未勝利,6,11,ロザーンジュ,牝,3,今村聖奈,53◇,15,4,１, ,芝2000,良,,(栗),寺島良,2003,-0.1,7,7,8,35.0,426,-2,
,"2026. 3.22",中京,1名4,未勝利,未勝利,8,14,ルーナディサングエ,牡,3,菅原隆一, 57 ,15,9,１, ,ダ1800,良,,(美),天間昭一,1547,-0.2,5,2,4,37.9,466,+14,
,"2026. 3.22",中京,1名4,未勝利,未勝利,2,4,スタームーンナイト,牡,3,横山武史, 57 ,16,2,１, ,ダ1400,良,,(美),中舘英二,1251,-1.3,,1,1,38.3,510,+12,B
,"2026. 3.22",中京,1名4,未勝利,未勝利・牝,6,10,セレーノ,牝,3,田山旺佑,52▲,14,4,１, ,ダ1800,良,,(栗),高橋亮,1550,-0.1,1,1,1,37.8,446,+2,
