Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 4.26",福島,1福6,1勝,１勝ｸﾗｽ,3,5,レイアポポ,牝,4,菊沢一樹, 56 ,16,5,１, ,ダ1150,良,,(美),青木孝文,1095,-0.0,,4,3,37.1,482,-6,
,"2026. 4.26",福島,1福6,ｵｰﾌﾟﾝ,モルガナＨ,3,6,サウンドモリアーナ,牝,4,吉田隼人, 54 ,16,3,１, ,芝1200,良,,(栗),武英智,1075,-0.1,,2,2,33.7,448,+6,
,"2026. 4.26",福島,1福6,2勝,尾瀬特別･2勝,2,2,グランキングオー,牡,4,斎藤新, 58 ,15,5,１, ,ダ1700,良,,(栗),高橋康之,1456,-0.1,2,2,2,38.5,458,+2,B
,"2026. 4.26",福島,1福6,1勝,飯盛山特･1勝,7,10,アリスメティーク,牝,4,杉原誠人, 56 ,13,4,１, ,芝2000,良,,(美),大竹正博,1589,-0.1,6,5,5,34.9,444,-4,
,"2026. 4.26",福島,1福6,1勝,１勝ｸﾗｽ,3,4,マキシマムドライブ,牡,4,黛弘人, 58 ,15,1,１, ,芝1200,良,,(美),尾関知人,1085,-0.0,,3,3,34.0,548,-2,
,"2026. 4.26",福島,1福6,1勝,１勝ｸﾗｽ・牝,6,10,ユージュアーナ,牝,4,舟山瑠泉,54△,15,2,１, ,ダ1700,良,,(栗),奥村豊,1460,-0.5,2,2,2,38.3,460,-2,
,"2026. 4.26",福島,1福6,1勝,１勝ｸﾗｽ,7,10,アスクデッドヒート,牡,4,古川奈穂,56◇,13,2,１, ,芝2600,良,,(栗),矢作芳人,2379,-0.4,5,3,2,35.0,474,+4,
,"2026. 4.26",福島,1福6,未勝利,未勝利,5,8,クシマトゥルー,牝,3,長浜鴻緒,53△,15,2,１, ,芝1800,良,,(美),矢嶋大樹,1468,-0.2,4,4,4,35.0,428,+2,
,"2026. 4.26",福島,1福6,未勝利,未勝利・牝,4,7,カレンデュラ,牝,3,嶋田純次, 55 ,16,2,１, ,芝1200,良,,(美),室井潔,1092,-0.1,,1,1,34.3,430,+4,
,"2026. 4.26",福島,1福6,未勝利,未勝利・若,7,13,エリーニック,牝,3,小林美駒,52▲,15,7,１, ,ダ1700,良,,(美),千葉直人,1464,-0.8,8,6,4,37.4,442,-4,
,"2026. 4.26",福島,1福6,未勝利,未勝利,6,12,ララアルカー,牡,3,藤懸貴志, 57 ,16,6,１, ,芝1200,良,,(美),大竹正博,1094,-0.0,,12,11,33.8,508,+14,
,"2026. 4.26",福島,1福6,未勝利,未勝利・牝,6,12,モズオウンゴール,牝,3,永島まな,53◇,16,1,１, ,ダ1150,良,,(栗),松下武士,1087,-0.7,,2,2,36.5,448,+10,
,"2026. 4.25",福島,1福5,1勝,１勝ｸﾗｽ・牝,2,4,モアニ,牝,5,丸山元気, 56 ,16,7,１, ,芝1800,良,,(栗),高橋康之,1469,-0.2,16,15,11,34.7,464,-10,
,"2026. 4.25",福島,1福5,3勝,福島中央･3勝,6,8,プレゼンティーア,牝,5,松本大輝, 56 ,12,7,１, ,ダ1150,良,,(栗),田中克典,1076,-0.2,,2,2,37.3,492,-2,B
,"2026. 4.25",福島,1福5,2勝,医王寺特･2勝,2,4,ウィンストン,牡,4,和田陽希, 58 ,16,3,１, ,芝1200,良,,(栗),杉山晴紀,1077,-0.0,,8,8,33.5,494,-4,B
,"2026. 4.25",福島,1福5,1勝,雪うさぎ･1勝,1,2,ロジケープ,牡,3,丹内祐次, 57 ,16,1,１, ,芝1200,良,,(美),尾形和幸,1078,-0.2,,6,5,34.5,490,-16,
,"2026. 4.25",福島,1福5,1勝,１勝ｸﾗｽ,7,12,オウケンシルヴァー,牡,5,木幡育也, 58 ,15,2,１, ,ダ1700,良,,(美),松永康利,1453,-0.7,2,2,2,37.5,494,-6,
,"2026. 4.25",福島,1福5,1勝,１勝ｸﾗｽ・若,5,6,カーヌスティ,牡,4,舟山瑠泉,56△,12,4,１, ,芝1200,良,,(美),大和田成,1081,-0.5,,2,2,34.0,478,-12,
,"2026. 4.25",福島,1福5,未勝利,未勝利,6,10,ゴールドバローズ,牡,3,荻野極, 57 ,15,2,１, ,ダ1700,良,,(栗),渡辺薫彦,1467,-0.4,4,2,2,38.1,512,-2,
,"2026. 4.25",福島,1福5,未勝利,未勝利,4,8,ミエノストロング,牡,3,石川裕紀, 57 ,16,1,１, ,芝2000,良,,(美),上原佑紀,2004,-0.4,5,4,3,35.7,470,-2,B
,"2026. 4.25",福島,1福5,未勝利,未勝利,4,7,ブレイヴソルジャー,牡,3,石田拓郎,54▲,16,4,１, ,ダ1150,良,,(美),新開幸一,1090,-0.3,,2,2,37.0,452,-12,
,"2026. 4.25",福島,1福5,未勝利,未勝利・牝,4,8,サルワールカミーズ,牝,3,丸山元気, 55 ,16,7,１, ,芝2000,良,,(美),矢嶋大樹,2006,-0.1,6,6,6,35.7,456,,
,"2026. 4.25",福島,1福5,未勝利,未勝利,6,11,フィラーエ,牝,3,国分恭介, 55 ,16,4,１, ,芝1200,良,,(栗),高橋康之,1087,-0.6,,5,3,34.3,446,-6,
