Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2025. 7.20",函館,1函C,1勝,１勝ｸﾗｽ,8,13,オカメノコイ,牝,3,鷲頭虎太,50▲,13,4,１, ,ダ1700,良,,(美),小笠倫弘,1456,-0.1,9,6,7,38.1,466,+4,
,"2025. 7.20",函館,1函C,Ｇ３,函館２歳G3,5,5,エイシンディード,牡,2,キング, 55 ,12,9,１, ,芝1200,良,,(栗),大久保龍,1084,-0.3,,1,1,34.1,448,-6,
,"2025. 7.20",函館,1函C,2勝,駒場特別･2勝,6,8,グレイテストソング,牡,3,佐々木大, 55 ,12,1,１, ,ダ1700,良,,(美),小笠倫弘,1456,-0.1,5,4,3,37.3,436,0,
,"2025. 7.20",函館,1函C,2勝,潮騒特別･2勝,2,2,モズナナスター,牝,3,横山武史, 53 ,13,2,１, ,芝1200,良,,(栗),矢作芳人,1079,-0.3,,2,2,34.2,440,-6,
,"2025. 7.20",函館,1函C,1勝,１勝ｸﾗｽ,2,2,レクスノヴァス,牡,3,横山和生, 55 ,9,1,１, ,芝2600,良,,(栗),上村洋行,2390,-0.3,2,2,2,35.0,492,-2,
,"2025. 7.20",函館,1函C,1勝,１勝ｸﾗｽ,3,3,パールフロント,牝,3,川又賢治, 53 ,12,3,１, ,ダ1000,良,,(栗),寺島良,0589,-0.0,,7,7,35.1,542,+10,B
,"2025. 7.20",函館,1函C,未勝利,未勝利,2,4,ヒットザグラウンド,牝,3,落合玄太, 55 ,16,3,１, ,芝1200,良,,(栗),四位洋文,1084,-0.1,,6,5,34.3,448,-2,
,"2025. 7.20",函館,1函C,新馬,新馬,2,2,アーレムアレス,牡,2,菱田裕二, 55 ,9,4,１, ,芝1800,良,,(栗),橋口慎介,1487,-0.3,4,4,3,34.5,478,,
,"2025. 7.20",函館,1函C,未勝利,未勝利,4,6,スマートブル,牡,3,鷲頭虎太,54▲,14,7,１, ,ダ1700,良,,(栗),井上智史,1454,-0.8,2,2,1,38.3,472,-6,B
,"2025. 7.20",函館,1函C,未勝利,未勝利,5,7,ハニードレス,牝,3,佐々木大, 55 ,14,2,１, ,芝1800,良,,(美),牧光二,1474,-0.2,2,2,2,34.8,440,0,
