Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 6. 7",阪神,3阪2,1勝,１勝ｸﾗｽ,3,3,チェリヴェント,牡,3,吉村誠之, 55 ,12,1,１, ,ダ1800,稍,,(栗),清水久詞,1513,-1.0,3,3,2,35.6,500,-4,B
,"2026. 6. 7",阪神,3阪2,ｵｰﾌﾟﾝ,水無月ＳＨ,3,6,アンズアメ,牝,4,川田将雅, 53 ,16,1,１, ,ダ1200,稍,,(栗),高柳大輔,1103,-0.0,,3,3,35.6,484,+2,
,"2026. 6. 7",阪神,3阪2,2勝,三木特別･2勝,1,1,ウインリベラシオン,牡,4,田口貫太, 58 ,9,4,１, 外,芝1800,稍,,(栗),緒方努,1477,-0.0,,4,4,33.8,498,-4,
,"2026. 6. 7",阪神,3阪2,2勝,洲本特別･2勝,2,4,リサシテーション,牡,3,菱田裕二, 55 ,16,3,１, ,ダ1400,稍,,(栗),岡田稲男,1234,-0.2,,7,7,35.6,464,0,
,"2026. 6. 7",阪神,3阪2,1勝,１勝ｸﾗｽ,7,14,ワンコールアウェイ,牝,4,川田将雅, 56 ,18,2,１, 内,芝1400,稍,,(栗),杉山晴紀,1205,-0.2,,9,9,33.3,470,+4,
,"2026. 6. 7",阪神,3阪2,1勝,１勝ｸﾗｽ・牝,4,8,ケイツーリーブル,牝,3,坂井瑠星, 53 ,16,3,１, ,ダ1800,稍,*,(美),千葉直人,1525,-0.0,15,15,15,36.4,448,-2,
,"2026. 6. 7",阪神,3阪2,未勝利,未勝利,2,4,エースフライト,牡,3,坂井瑠星, 57 ,16,3,１, 内,芝2000,稍,,(栗),池江泰寿,2000,-0.8,5,6,6,35.0,512,-2,
,"2026. 6. 7",阪神,3阪2,新馬,新馬,5,5,ビスケットサンド,牝,2,北村友一, 55 ,11,4,１, 内,芝1400,稍,,(栗),佐藤悠太,1219,-0.2,,6,6,34.4,454,,
,"2026. 6. 7",阪神,3阪2,未勝利,未勝利,4,8,ゼルダ,牝,3,高倉稜, 55 ,16,5,１, ,ダ1400,良,,(栗),鈴木孝志,1249,-0.1,,1,1,36.9,476,+8,
,"2026. 6. 7",阪神,3阪2,未勝利,未勝利,1,2,ロードヴェリタス,牡,3,西塚洸二, 57 ,16,1,１, ,ダ1800,良,,(栗),友道康夫,1542,-0.5,3,5,3,37.9,502,+2,
,"2026. 6. 7",阪神,3阪2,未勝利,未勝利・牝,6,10,サリエンテ,牝,3,西村淳也, 55 ,15,2,１, 外,芝1800,良,,(栗),池添学,1470,-0.2,,3,2,34.1,542,+20,
,"2026. 6. 7",阪神,3阪2,未勝利,障害未勝利,4,5,ロードオールライト,牡,5,小牧加矢, 60 ,14,4,１, ,ダ2970,良,,(栗),中内田充,3235,-0.0,2,2,2,13.7,520,-2,
,"2026. 6. 6",阪神,3阪1,1勝,１勝ｸﾗｽ,1,1,フェスティヴドレス,牝,3,岩田望来, 53 ,16,3,１, ,ダ1400,良,,(栗),岡田稲男,1241,-0.1,,6,5,36.8,458,0,
,"2026. 6. 6",阪神,3阪1,3勝,垂水Ｓ･3勝,2,2,ジーティーダーリン,牡,4,松本大輝, 58 ,11,7,１, 内,芝2000,良,,(栗),田中克典,1587,-0.3,1,1,1,34.1,508,-2,
,"2026. 6. 6",阪神,3阪1,2勝,加古川特･2勝,4,4,バトンインディ,牡,5,幸英明, 58 ,12,2,１, ,ダ1800,良,,(栗),安達昭夫,1528,-0.3,2,2,2,36.6,472,-2,B
,"2026. 6. 6",阪神,3阪1,1勝,城崎特別･1勝,3,3,カフジエメンタール,牡,3,坂井瑠星, 55 ,9,1,１, 外,芝1800,良,,(栗),矢作芳人,1455,-0.2,,2,2,33.9,526,0,
,"2026. 6. 6",阪神,3阪1,1勝,１勝ｸﾗｽ,5,5,マイバレンタイン,牡,3,田口貫太, 54 ,9,5,１, 内,芝2200,良,,(栗),池江泰寿,2130,-0.3,2,2,2,33.4,514,+2,
