Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 3. 1",小倉,1小C,1勝,１勝ｸﾗｽ,2,3,セボンサデッセ,牡,4,菱田裕二, 57 ,16,1,１, ,ダ1700,稍,,(栗),橋口慎介,1445,-0.2,1,1,1,37.4,486,-14,
,"2026. 3. 1",小倉,1小C,3勝,関門橋Ｓ･3勝,4,8,バルナバ,牡,4,斎藤新, 57 ,17,2,１, ,芝2000,良,,(栗),浜田多実,2003,-0.3,12,7,4,35.9,504,-2,
,"2026. 3. 1",小倉,1小C,2勝,西日本新･2勝,8,16,モーデン,牡,8,鮫島克駿, 58 ,18,5,１, ,芝1200,良,,(栗),加藤公太,1084,-0.3,,11,11,33.8,492,-10,
,"2026. 3. 1",小倉,1小C,1勝,唐戸特別･1勝,5,10,ジャスティンガルフ,牡,5,西塚洸二, 58 ,18,14,１, ,芝2000,良,,(栗),茶木太樹,2028,-0.0,1,1,1,35.9,498,-2,
,"2026. 3. 1",小倉,1小C,1勝,１勝ｸﾗｽ・牝,8,14,ヴァリオーサ,牝,4,富田暁, 55 ,15,5,１, ,ダ1700,稍,,(栗),武幸四郎,1463,-0.2,7,6,4,38.6,474,-4,
,"2026. 3. 1",小倉,1小C,1勝,１勝ｸﾗｽ,3,6,ヴィヴァクラウン,牡,5,舟山瑠泉,55▲,18,10,１, ,芝1200,良,,(美),杉浦宏昭,1084,-0.3,,4,4,35.4,470,-12,
,"2026. 3. 1",小倉,1小C,未勝利,未勝利,8,16,エクリュ,牝,3,松若風馬, 55 ,16,1,１, ,芝1800,良,,(栗),井上智史,1498,-0.1,15,5,4,36.8,436,0,
,"2026. 3. 1",小倉,1小C,未勝利,未勝利,4,8,プルヴォワール,牝,3,吉田隼人, 55 ,18,7,１, ,芝1200,良,,(美),竹内正洋,1094,-0.1,,2,2,35.8,442,0,
,"2026. 3. 1",小倉,1小C,未勝利,障害未勝利,3,3,ハイウェイスター,牝,5,中村将之, 58 ,12,1,１, ,芝2860,良,,(栗),宮本博,3160,-1.0,5,2,1,13.7,492,-4,
,"2026. 3. 1",小倉,1小C,未勝利,未勝利,3,3,ファンシーフリル,牝,3,石田拓郎,52▲,14,1,１, ,ダ1000,稍,,(美),蛯名利弘,0578,-0.6,,1,1,35.4,458,-2,
,"2026. 3. 1",小倉,1小C,未勝利,未勝利・牝,8,15,アストリル,牝,3,丹内祐次, 55 ,16,1,１, ,芝2000,良,,(美),鈴木慎太,2035,-0.1,2,2,2,36.3,438,-6,
,"2026. 3. 1",小倉,1小C,未勝利,未勝利,2,3,ジュンプリメーロ,牡,3,西塚洸二, 57 ,16,3,１, ,ダ1700,稍,,(栗),友道康夫,1461,-0.3,1,1,1,38.9,492,0,
,"2026. 2.28",小倉,1小B,1勝,１勝ｸﾗｽ,4,7,スネーフリンガ,牝,4,丸山元気, 56 ,18,9,１, ,芝1200,稍,,(栗),森田直行,1100,-0.1,,3,3,34.8,460,0,
,"2026. 2.28",小倉,1小B,2勝,別府特別･2勝,5,9,ホウオウアートマン,牡,4,菱田裕二, 57 ,15,2,１, ,芝2000,稍,,(栗),矢作芳人,2009,-0.1,15,12,9,35.7,464,-2,B
,"2026. 2.28",小倉,1小B,2勝,早鞆特Ｈ･2勝,7,14,ジューンエオス,牝,4,富田暁, 53 ,16,5,１, ,ダ1700,重,,(栗),武英智,1425,-0.3,3,3,2,37.6,488,0,
,"2026. 2.28",小倉,1小B,1勝,脊振山特･1勝,6,12,バースライト,牡,4,吉田隼人, 57 ,16,6,１, ,芝2600,稍,,(栗),武幸四郎,2414,-1.0,2,2,1,36.5,506,-2,
,"2026. 2.28",小倉,1小B,1勝,１勝ｸﾗｽ・牝,8,13,マテンロウシルビア,牝,4,古川吉洋, 55 ,13,10,１, ,芝2000,稍,,(栗),四位洋文,2010,-0.3,12,11,10,36.0,428,-12,
,"2026. 2.28",小倉,1小B,1勝,１勝ｸﾗｽ*,6,8,サンライズケヴィン,牡,3,松若風馬, 57 ,13,5,１, ,ダ1700,重,,(栗),平田修,1428,-0.2,2,2,2,36.7,490,+14,
,"2026. 2.28",小倉,1小B,未勝利,未勝利,4,8,ニホンピロロジャー,牡,3,国分恭介, 57 ,16,1,１, ,芝2000,稍,,(栗),緒方努,2018,-0.2,12,8,4,36.2,432,-8,
,"2026. 2.28",小倉,1小B,ｵｰﾌﾟﾝ,障害・オープ,3,3,クラップサンダー,牡,7,黒岩悠, 60 ,12,6,１, ,芝2860,稍,,(栗),牧田和弥,3173,-0.3,5,3,2,13.8,464,+4,
,"2026. 2.28",小倉,1小B,未勝利,障害未勝利,2,2,ホウオウプロサンゲ,牡,5,小野寺祐, 60 ,12,3,１, ,芝2860,稍,,(栗),矢作芳人,3145,-3.0,1,1,1,13.6,512,+24,
,"2026. 2.28",小倉,1小B,1勝,１勝ｸﾗｽ,4,5,ミキノバカラ,牡,4,河原田菜,54★,14,7,１, ,ダ1000,不,,(栗),大橋勇樹,0578,-0.3,,9,8,34.4,480,+2,
,"2026. 2.28",小倉,1小B,未勝利,未勝利,4,8,ダブルチャレンジ,牝,3,小林美駒,52▲,18,1,１, ,芝1200,稍,,(美),深山雅史,1099,-0.0,,1,1,36.3,438,-2,
,"2026. 2.28",小倉,1小B,未勝利,未勝利・牝,7,14,フレットローソ,牝,3,横山琉人, 55 ,16,1,１, ,ダ1700,不,,(栗),高橋義忠,1452,-0.5,1,1,1,37.3,494,+4,
,"2026. 2.22",小倉,1小A,1勝,１勝ｸﾗｽ・牝,8,18,アサクサグレース,牝,4,杉原誠人, 56 ,18,6,１, ,芝1200,良,,(栗),加藤公太,1078,-0.1,,1,1,35.2,468,0,
,"2026. 2.22",小倉,1小A,Ｇ３,小倉大賞ＨG3,8,16,タガノデュード,牡,5,古川吉洋, 55 ,16,4,１, ,芝1800,良,,(栗),宮徹,1452,-0.1,14,11,7,34.1,498,-6,
,"2026. 2.22",小倉,1小A,2勝,和布刈特･2勝,5,9,タイセイミッション,セ,5,黛弘人, 58 ,16,3,１, ,ダ1700,良,*,(美),伊藤圭三,1457,-0.0,2,2,2,37.4,532,-2,B
,"2026. 2.22",小倉,1小A,1勝,高千穂特･1勝,5,5,インパクトシー,牡,4,横山琉人, 57 ,12,1,１, ,芝1800,良,,(美),大竹正博,1464,-0.7,3,3,2,34.7,532,+4,
,"2026. 2.22",小倉,1小A,1勝,１勝ｸﾗｽ,3,3,メリザンド,牝,4,杉原誠人, 55 ,14,6,１, ,芝2000,良,,(美),小手川準,2001,-0.0,1,1,1,36.3,468,+6,
,"2026. 2.22",小倉,1小A,1勝,１勝ｸﾗｽ,5,8,マンオブザマッチ,牡,4,舟山瑠泉,54▲,14,2,１, ,ダ1700,良,,(栗),高橋義忠,1468,-0.6,4,4,3,38.6,488,-2,
,"2026. 2.22",小倉,1小A,未勝利,未勝利・牝,2,4,ソングオブザバード,牝,3,鮫島克駿, 55 ,16,2,１, ,芝1800,良,,(栗),佐藤悠太,1484,-0.4,7,5,4,35.2,464,,
,"2026. 2.22",小倉,1小A,未勝利,未勝利,2,2,エイシンイグニース,牡,3,西塚洸二, 57 ,13,4,１, ,芝2000,良,,(栗),野中賢二,2005,-0.5,1,1,1,36.0,488,-8,
,"2026. 2.22",小倉,1小A,未勝利,障害未勝利,4,4,グラニットピーク,セ,6,坂口智康,57▲,12,8,１, ,芝2860,良,,(美),田島俊明,3172,-0.1,4,6,4,13.8,508,+2,
,"2026. 2.22",小倉,1小A,1勝,１勝ｸﾗｽ,1,1,ベニシア,牝,5,菊沢一樹, 56 ,14,14,１, ,ダ1000,良,,(美),粕谷昌央,0593,-0.2,,1,1,36.5,446,+2,
,"2026. 2.22",小倉,1小A,未勝利,未勝利,5,10,ロジケープ,牡,3,丹内祐次, 57 ,18,2,１, ,芝1200,良,*,(美),尾形和幸,1079,-0.6,,2,2,34.7,500,+4,
,"2026. 2.22",小倉,1小A,未勝利,未勝利・牝,2,2,ガーネットフレア,牝,3,北村友一, 55 ,12,3,１, ,ダ1700,良,,(栗),杉山佳明,1482,-0.8,1,1,1,39.0,442,+2,
,"2026. 2.21",小倉,1小9,1勝,１勝ｸﾗｽ,5,9,ベルビースタローン,牝,4,小林美駒,53▲,18,1,１, ,芝1200,良,,(栗),西村真幸,1081,-0.0,,1,1,35.4,508,+2,
,"2026. 2.21",小倉,1小9,3勝,小倉城Ｓ･3勝,5,6,オーケーバーディー,牝,5,横山琉人, 56 ,13,3,１, ,ダ1700,良,,(美),相沢郁,1451,-0.2,1,1,1,37.4,458,-8,
,"2026. 2.21",小倉,1小9,2勝,皿倉山特･2勝,5,9,エコロレイズ,牡,5,菊沢一樹, 58 ,16,6,１, ,芝2600,良,,(美),岩戸孝樹,2391,-0.2,8,8,5,35.3,504,0,
,"2026. 2.21",小倉,1小9,1勝,あざみ賞･1勝,3,3,アンジュプロミス,牝,3,古川奈穂, 55 ,10,2,１, ,芝1200,良,,(栗),矢作芳人,1081,-0.0,,1,1,34.8,444,-4,
,"2026. 2.21",小倉,1小9,1勝,１勝ｸﾗｽ・牝,7,14,ハニードレス,牝,4,丸山元気, 55 ,16,3,１, ,芝1800,良,,(美),牧光二,1470,-0.4,7,7,6,35.6,440,+2,
,"2026. 2.21",小倉,1小9,1勝,１勝ｸﾗｽ,2,3,ケイアイアルタイル,牡,5,菊沢一樹, 58 ,16,6,１, ,ダ1700,良,,(栗),梅田智之,1467,-0.3,5,5,3,38.1,526,-4,
,"2026. 2.21",小倉,1小9,未勝利,未勝利,5,10,レッドラージャ,牡,3,西塚洸二, 57 ,16,1,１, ,芝1800,良,,(栗),友道康夫,1493,-0.2,7,7,3,35.2,506,-2,B
,"2026. 2.21",小倉,1小9,ｵｰﾌﾟﾝ,障害・オープ,8,11,スズカハービン,牡,6,難波剛健, 61 ,12,1,１, ,芝3390,良,,(栗),高橋義忠,3523,-0.1,1,1,1,13.7,478,+10,
,"2026. 2.21",小倉,1小9,未勝利,障害未勝利,8,12,コンバスチョン,セ,7,上野翔, 60 ,12,1,１, ,芝2860,良,,(美),伊藤圭三,3132,-0.4,5,2,2,13.5,504,0,
,"2026. 2.21",小倉,1小9,未勝利,未勝利,3,4,エコロレバン,牝,3,小林美駒,52▲,14,2,１, ,ダ1000,良,,(栗),大久保龍,0587,-0.7,,1,1,35.8,464,-6,
