Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 5.31",京都,3京C,3勝,渡月橋Ｓ･3勝,4,8,スマートワイス,牡,5,高杉吏麒, 58 ,18,1,１, 外,芝1400,良,,(栗),大久保龍,1201,-0.2,,3,3,33.9,484,-4,
,"2026. 5.31",京都,3京C,OP(L),白百合Ｓ(L),1,1,ロサルゴサ,牡,3,池添謙一, 57 ,9,4,１, 外,芝1800,良,,(栗),斉藤崇史,1471,-0.2,,1,1,33.0,486,+4,
,"2026. 5.31",京都,3京C,OP(L),安土城Ｈ(L),8,17,エコロブルーム,牡,5,菱田裕二,57.5,17,7,１, 外,芝1400,良,,(美),加藤征弘,1199,-0.0,,2,2,33.0,472,+6,
,"2026. 5.31",京都,3京C,2勝,與杼特別･2勝,8,10,ゴッドエスパーダ,牡,4,角田大和, 58 ,11,1,１, ,ダ1800,良,,(栗),角田晃一,1511,-0.3,4,4,4,36.2,496,-6,
,"2026. 5.31",京都,3京C,2勝,２勝ｸﾗｽ・牝,1,1,フィオレストラーダ,牝,4,松若風馬, 56 ,8,4,１, 内,芝2000,良,,(栗),杉山晴紀,1594,-0.2,2,2,2,34.9,468,+12,
,"2026. 5.31",京都,3京C,1勝,１勝ｸﾗｽ,1,1,ロードガレリア,牡,4,高杉吏麒, 58 ,10,1,１, 外,芝2400,良,,(栗),藤岡健一,2237,-0.0,6,6,3,35.7,450,+6,
,"2026. 5.31",京都,3京C,1勝,１勝ｸﾗｽ*,5,8,ピカラ,牝,3,斎藤新, 55 ,14,1,１, ,ダ1400,良,,(栗),坂口智康,1237,-0.1,,2,2,36.8,458,+2,
,"2026. 5.31",京都,3京C,未勝利,未勝利,1,1,エイシンビーコン,牡,3,Ｍ．デム, 57 ,18,3,１, 内,芝1600,良,,(栗),吉村圭司,1335,-0.1,,14,9,33.9,460,-2,
,"2026. 5.31",京都,3京C,ｵｰﾌﾟﾝ,障害・オープ,3,3,コンテナワールド,牡,5,井上敏樹,58▲,10,2,１, ,ダ3170,良,,(栗),中竹和也,3337,-0.2,1,1,1,13.5,494,+2,
,"2026. 5.31",京都,3京C,未勝利,未勝利,6,12,スナークシャラク,牡,3,小沢大仁, 57 ,16,9,１, ,ダ1900,良,,(栗),今野貞一,2005,-0.2,2,2,2,37.5,516,-2,
,"2026. 5.31",京都,3京C,未勝利,未勝利,8,16,カーリキュー,牝,3,斎藤新, 55 ,16,1,１, ,ダ1200,良,,(栗),高橋一哉,1122,-0.1,,1,1,36.0,450,0,
,"2026. 5.31",京都,3京C,未勝利,未勝利・牝,1,2,グロリアス,牝,3,田山旺佑,53△,16,1,１, ,ダ1800,良,,(栗),新谷功一,1535,-0.2,8,4,3,37.8,460,+4,B
,"2026. 5.30",京都,3京B,2勝,２勝ｸﾗｽ,3,5,ウルスクローム,牡,4,田口貫太, 58 ,16,4,１, ,ダ1200,良,,(栗),大橋勇樹,1114,-0.2,,11,11,35.4,486,-2,
,"2026. 5.30",京都,3京B,Ｇ３,葵ＳG3,1,2,デアヴェローチェ,牝,3,北村友一, 55 ,16,5,１, 内,芝1200,良,,(栗),上村洋行,1076,-0.1,,3,4,33.6,458,+4,
,"2026. 5.30",京都,3京B,3勝,桃山ＳＨ･3勝,1,2,テーオーマルコーニ,牡,4,団野大成, 57 ,16,5,１, ,ダ1800,良,,(栗),奥村豊,1514,-0.3,3,4,3,35.1,498,+4,
,"2026. 5.30",京都,3京B,OP(L),鳳雛Ｓ(L),8,8,イッテラッシャイ,牡,3,斎藤新, 57 ,9,1,１, ,ダ1800,良,,(美),斎藤誠,1501,-0.1,1,1,1,36.8,498,+2,
,"2026. 5.30",京都,3京B,2勝,２勝ｸﾗｽ,2,2,サンタンカ,牡,4,高杉吏麒, 58 ,12,6,１, 外,芝1400,良,,(栗),千田輝彦,1207,-0.0,,2,2,33.6,516,0,
,"2026. 5.30",京都,3京B,1勝,１勝ｸﾗｽ,1,1,ビップディラン,牡,4,松若風馬, 58 ,15,4,１, 外,芝1600,良,,(栗),小椋研介,1333,-0.0,,1,1,34.6,466,0,
,"2026. 5.30",京都,3京B,1勝,１勝ｸﾗｽ,5,5,マハートマーベル,牡,4,吉村誠之, 58 ,12,7,１, ,ダ1800,良,,(栗),西村真幸,1524,-0.4,6,5,3,36.6,464,+4,B
,"2026. 5.30",京都,3京B,未勝利,未勝利,6,12,サトノアグード,牡,3,坂井瑠星, 57 ,18,1,１, 外,芝1800,良,,(栗),藤原英昭,1457,-0.4,,12,11,33.6,482,+6,
,"2026. 5.30",京都,3京B,未勝利,未勝利,7,13,シートゥサミット,牡,3,酒井学, 57 ,18,1,１, 外,芝2400,良,,(栗),吉岡辰弥,2253,-0.4,13,1,1,35.0,518,0,
,"2026. 5.30",京都,3京B,未勝利,未勝利,2,4,メイショウトウコウ,牡,3,幸英明, 57 ,18,2,１, 内,芝1400,良,,(栗),石橋守,1203,-0.0,,12,11,33.9,464,+2,
,"2026. 5.30",京都,3京B,未勝利,未勝利,1,1,アメリカンイズム,牡,3,川田将雅, 57 ,16,1,１, ,ダ1800,良,,(栗),池江泰寿,1535,-0.7,1,1,1,37.5,502,+18,
,"2026. 5.30",京都,3京B,未勝利,未勝利,7,14,ニホンピロローカス,牡,3,鮫島克駿, 57 ,16,1,１, ,ダ1400,良,,(栗),中尾秀正,1250,-0.5,,1,1,37.2,490,+2,B
,"2026. 5.24",京都,3京A,1勝,１勝ｸﾗｽ,7,14,ジュルナール,牝,4,田山旺佑,54△,16,5,１, ,ダ1400,良,,(栗),池添学,1244,-0.2,,4,5,37.4,480,+8,B
,"2026. 5.24",京都,3京A,OP(L),都大路Ｈ(L),2,2,ガイアメンテ,牡,5,団野大成, 56 ,13,2,１, 外,芝1800,良,,(栗),須貝尚介,1434,-0.3,,7,6,34.2,492,-2,
,"2026. 5.24",京都,3京A,3勝,高瀬川Ｓ･3勝,7,12,アンズアメ,牝,4,鮫島克駿, 56 ,14,2,１, ,ダ1200,良,,(栗),高柳大輔,1105,-0.2,,9,9,35.7,482,+4,
,"2026. 5.24",京都,3京A,2勝,聖護院特･2勝,7,9,アラタマフェーヴル,牡,5,松若風馬, 58 ,11,5,１, 外,芝1800,良,,(栗),浜田多実,1463,-0.1,,2,2,33.5,494,+4,
,"2026. 5.24",京都,3京A,2勝,２勝ｸﾗｽ,5,5,サイモンシュバリエ,牡,4,吉村誠之, 58 ,12,1,１, ,ダ1800,良,,(栗),梅田智之,1529,-0.1,1,1,1,37.1,496,0,
,"2026. 5.24",京都,3京A,1勝,１勝ｸﾗｽ,6,12,ペールノエル,セ,4,北村友一, 58 ,18,4,１, 外,芝1400,良,,(栗),西村真幸,1203,-0.0,,11,10,33.2,442,-6,
,"2026. 5.24",京都,3京A,1勝,１勝ｸﾗｽ*,6,12,ボクマダネムイヨ,牡,3,川田将雅, 57 ,16,1,１, ,ダ1900,良,,(栗),東田明士,1588,-0.8,11,9,8,37.7,490,+2,
,"2026. 5.24",京都,3京A,1勝,１勝ｸﾗｽ*,8,9,モンサンゴールデン,牡,3,鮫島克駿, 57 ,9,6,１, 内,芝1200,良,,(栗),中竹和也,1079,-0.2,,5,6,33.4,466,-4,
,"2026. 5.24",京都,3京A,未勝利,未勝利,1,1,スノースケープ,牝,3,川田将雅, 55 ,10,1,１, 内,芝2000,良,,(栗),中内田充,1593,-0.7,3,3,1,35.0,462,-4,
,"2026. 5.24",京都,3京A,未勝利,未勝利,1,1,ハヤブササキチャン,牝,3,吉田隼人, 55 ,18,1,１, 内,芝1600,良,,(栗),東田明士,1329,-0.4,,2,2,35.1,424,+2,
,"2026. 5.24",京都,3京A,未勝利,未勝利,5,7,ピエナブラック,牡,3,団野大成, 57 ,13,3,１, ,ダ1900,良,,(栗),荒川義之,2029,-0.2,2,2,1,38.6,488,+2,
,"2026. 5.24",京都,3京A,未勝利,未勝利・牝,8,16,オヤツノジカン,牝,3,幸英明, 55 ,16,2,１, ,ダ1800,良,,(栗),高橋義忠,1544,-0.5,5,4,2,38.8,430,0,
,"2026. 5.23",京都,3京9,2勝,オースト･2勝,3,4,ヨリノレジェンド,牡,4,団野大成, 58 ,14,1,１, ,ダ1400,稍,,(栗),奥村豊,1239,-0.0,,9,10,36.1,458,+4,
,"2026. 5.23",京都,3京9,Ｇ３,平安ＳG3,7,14,ロードクロンヌ,牡,5,横山和生, 58 ,16,1,１, ,ダ1900,稍,,(栗),四位洋文,1569,-0.6,2,2,2,37.7,500,0,
,"2026. 5.23",京都,3京9,3勝,シドニー･3勝,8,15,タガノアビー,牝,4,岩田望来, 56 ,16,3,１, 内,芝2000,良,,(栗),千田輝彦,1594,-0.2,13,13,13,33.6,514,+10,
,"2026. 5.23",京都,3京9,1勝,メルボル･1勝,2,2,テイエムアイラン,牝,3,松山弘平, 55 ,11,8,１, 内,芝1600,良,,(栗),宮地貴稔,1329,-0.1,,1,1,34.5,410,0,
