Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 4.19",中山,3中8,3勝,サンシＨ･3勝,4,7,パンジャ,牡,5,戸崎圭太, 57 ,18,1,１, ,芝2200,良,,(美),金成貴史,2107,-0.0,8,10,10,33.6,492,-2,
,"2026. 4.19",中山,3中8,Ｇ１,皐月賞G1,2,4,ロブチェン,牡,3,松山弘平, 57 ,18,1,１, ,芝2000,良,,(栗),杉山晴紀,1565,-0.2,1,1,1,34.2,520,+2,
,"2026. 4.19",中山,3中8,OP(L),京葉Ｓ(L),7,12,ナムラフランク,牡,7,岩田望来, 58 ,15,5,１, ,ダ1200,良,,(栗),鈴木孝志,1097,-0.0,,2,2,36.4,496,-6,B
,"2026. 4.19",中山,3中8,2勝,野島崎特･2勝,6,8,ラブリージャブリー,牝,4,レーン, 56 ,12,2,１, ,芝2000,良,,(美),蛯名正義,1574,-0.0,6,6,3,33.9,424,0,
,"2026. 4.19",中山,3中8,2勝,利根川特･2勝,7,9,サノノワンダー,牡,4,戸崎圭太, 58 ,12,1,１, ,ダ1800,良,,(美),栗田徹,1530,-0.1,6,2,2,37.9,520,-8,
,"2026. 4.19",中山,3中8,1勝,１勝ｸﾗｽ,8,13,サヨノジャンボリー,牡,4,高杉吏麒, 58 ,13,4,１, ,ダ1200,良,,(美),小笠倫弘,1107,-0.5,,2,2,36.7,474,-2,
,"2026. 4.19",中山,3中8,1勝,１勝ｸﾗｽ*,4,4,イッテラッシャイ,牡,3,戸崎圭太, 57 ,6,2,１, ,ダ1800,良,,(美),斎藤誠,1508,-1.3,1,1,1,37.1,496,-2,
,"2026. 4.19",中山,3中8,1勝,１勝ｸﾗｽ*,7,7,マーゴットブロー,牡,3,武豊, 57 ,10,2,１, ,芝1600,良,,(美),伊坂重信,1330,-0.3,3,3,2,34.2,510,0,
,"2026. 4.19",中山,3中8,未勝利,未勝利,4,8,ウェイクフィールド,牡,3,横山和生, 57 ,16,3,１, ,芝2000,良,,(美),嘉藤貴行,2004,-0.1,2,2,1,35.2,486,+4,
,"2026. 4.19",中山,3中8,未勝利,未勝利,7,12,ジューンセクレタ,牡,3,横山武史, 57 ,14,1,１, ,ダ1800,良,,(栗),武英智,1535,-0.7,1,1,1,39.2,516,+2,B
,"2026. 4.19",中山,3中8,未勝利,未勝利,7,13,ソニックブレイカー,牡,3,横山武史, 57 ,16,3,１, ,ダ1200,良,,(美),稲垣幸雄,1110,-0.9,,1,1,37.0,430,-6,
,"2026. 4.19",中山,3中8,未勝利,未勝利・牝,5,6,ナムラハリス,牝,3,原優介, 55 ,12,6,１, ,ダ1800,良,,(栗),宮地貴稔,1549,-0.0,2,2,2,38.0,426,+4,
,"2026. 4.18",中山,3中7,2勝,葛飾特別･2勝,5,7,ハヤテノツバサ,牡,4,横山武史, 58 ,13,3,１, ,ダ1200,良,,(栗),杉山佳明,1108,-0.2,,1,1,36.6,518,0,B
,"2026. 4.18",中山,3中7,ＪＧ１,中山グラJG1,6,6,エコロデュエル,牡,7,草野太郎, 63 ,10,1,１, ,芝4260,良,,(美),岩戸孝樹,4490,-2.0,2,1,1,13.6,480,0,
