Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2026. 5.24",新潟,1新8,1勝,１勝ｸﾗｽ,7,12,ニシノケンタマン,牡,4,西塚洸二, 58 ,15,4,１, ,ダ1800,稍,*,(美),深山雅史,1538,-0.1,3,2,3,37.3,462,-8,
,"2026. 5.24",新潟,1新8,ｵｰﾌﾟﾝ,韋駄天ＳＨ,5,9,エコロレジーナ,牝,6,菊沢一樹, 54 ,16,3,１, 内,芝1000,稍,,(美),菊沢隆徳,0551,-0.1,,,1,32.8,504,0,
,"2026. 5.24",新潟,1新8,2勝,火打山特･2勝,6,11,テセラリアン,牝,5,丹内祐次, 56 ,15,8,１, ,ダ1200,稍,,(美),鈴木慎太,1113,-0.3,,1,1,36.4,454,+6,B
,"2026. 5.24",新潟,1新8,1勝,二王子特･1勝,6,9,マイネルアレス,牡,4,丹内祐次, 58 ,14,1,１, 外,芝1800,稍,*,(美),相沢郁,1478,-0.3,,2,2,34.2,458,-2,B
,"2026. 5.24",新潟,1新8,1勝,１勝ｸﾗｽ,3,6,セイプリーズ,牝,4,上里直汰,53▲,16,2,１, 内,芝1200,稍,,(栗),宮徹,1101,-0.1,,5,4,34.5,428,0,
,"2026. 5.24",新潟,1新8,1勝,１勝ｸﾗｽ・若,8,14,リッキースタイル,牡,4,舟山瑠泉,56△,15,1,１, ,ダ1200,稍,,(美),水野貴広,1114,-0.0,,4,4,36.6,486,-4,
,"2026. 5.24",新潟,1新8,未勝利,未勝利,2,2,ホウオウストライク,牡,3,荻野極, 57 ,12,4,１, ,ダ1800,稍,,(栗),池江泰寿,1540,-0.2,1,1,1,39.0,476,+4,
,"2026. 5.24",新潟,1新8,未勝利,未勝利,8,15,ディアアズール,牝,3,丸山元気, 55 ,16,2,１, 内,芝2000,稍,,(美),森一誠,2038,-0.1,7,3,3,36.0,422,+4,
,"2026. 5.24",新潟,1新8,未勝利,障害未勝利,4,5,サングラデーション,セ,6,上野翔, 60 ,13,2,１, ,芝2890,稍,,(美),千葉直人,3115,-0.2,2,1,1,13.3,414,-4,
,"2026. 5.24",新潟,1新8,未勝利,未勝利,8,10,アイビーチーキー,牡,3,ゴンサル, 57 ,10,1,１, ,ダ1800,稍,,(美),加藤士津,1543,-0.5,3,2,2,40.4,494,+4,
,"2026. 5.24",新潟,1新8,未勝利,未勝利・牝,2,3,アーガイルショア,牝,3,斎藤新, 55 ,15,2,１, ,ダ1200,稍,,(栗),安田翔伍,1125,-0.0,,7,6,37.7,512,0,B
,"2026. 5.24",新潟,1新8,未勝利,未勝利,5,10,マイネルユーゲント,牡,3,小林美駒,54▲,16,2,１, 内,芝1200,稍,,(美),加藤士津,1106,-0.4,,1,1,36.0,452,+4,
,"2026. 5.23",新潟,1新7,1勝,１勝ｸﾗｽ,6,11,ヴェントインコーダ,牝,4,丸山元気, 56 ,15,3,１, ,ダ1200,稍,,(栗),角田晃一,1120,-0.0,,1,1,37.7,472,-12,
,"2026. 5.23",新潟,1新7,2勝,大日岳特･2勝,4,7,マリノトニトゥルス,牝,4,丸山元気, 56 ,16,5,１, 内,芝1200,稍,,(美),武市康男,1092,-0.1,,6,6,34.4,472,-2,
,"2026. 5.23",新潟,1新7,1勝,尖閣湾特･1勝,5,9,マイネルアズーロ,牡,4,杉原誠人, 58 ,15,1,１, 外,芝2000,稍,,(美),鹿戸雄一,2005,-0.0,,12,12,34.0,470,-2,
,"2026. 5.23",新潟,1新7,1勝,はやぶさ･1勝,8,16,カレンデュラ,牝,3,嶋田純次, 55 ,16,1,１, 内,芝1000,稍,,(美),室井潔,0560,-0.1,,,4,33.5,424,-6,
,"2026. 5.23",新潟,1新7,1勝,１勝ｸﾗｽ・牝,8,15,ハギノコラソン,牝,4,舟山瑠泉,54△,15,1,１, ,ダ1800,稍,,(栗),寺島良,1532,-0.6,8,3,3,38.2,474,+4,B
,"2026. 5.23",新潟,1新7,未勝利,未勝利,3,5,パーヴォ,牡,3,菊沢一樹, 57 ,16,4,１, 内,芝2400,稍,,(栗),吉田直弘,2277,-0.0,14,9,6,34.8,446,+6,
,"2026. 5.23",新潟,1新7,未勝利,未勝利・若,7,13,マシン,牡,3,小林美駒,54▲,15,1,１, ,ダ1800,稍,,(栗),石坂公一,1534,-0.2,2,2,2,38.2,470,0,
,"2026. 5.23",新潟,1新7,未勝利,未勝利,2,3,ミスターマーボー,牡,3,ゴンサル, 57 ,16,1,１, 内,芝1400,稍,,(美),青木孝文,1233,-0.0,,3,3,35.6,450,-2,
,"2026. 5.23",新潟,1新7,未勝利,未勝利,7,13,サトノカスターニャ,牝,3,小沢大仁, 55 ,16,5,１, 内,芝1400,稍,,(栗),吉岡辰弥,1233,-0.0,,2,2,35.7,434,-2,B
