Ｍ,日付(yyyy.mm.dd),場所,開催,クラス名,レース名,枠番,馬番,馬名,性別,年齢,騎手,斤量,頭数,人気,着順,芝(内・外),距離,馬場状態,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,馬体重,馬体重増減,ブリンカー
,"2025. 9. 7",札幌,2札6,1勝,１勝ｸﾗｽ,2,2,ジュンラトゥール,牡,4,斎藤新, 58 ,14,5,１, ,ダ1700,稍,,(栗),浜田多実,1457,-0.5,14,14,8,37.5,464,+2,B
,"2025. 9. 7",札幌,2札6,ｵｰﾌﾟﾝ,丹頂ＳＨ,6,7,ミステリーウェイ,セ,7,松本大輝, 55 ,12,9,１, ,芝2600,稍,,(栗),小林真也,2448,-0.3,1,1,1,36.4,502,0,
,"2025. 9. 7",札幌,2札6,2勝,ＨＴＢ賞･2勝,7,12,タイキラフター,牡,5,佐々木大, 58 ,14,5,１, ,芝1800,稍,,(美),大竹正博,1496,-0.2,11,10,9,36.1,532,+6,
,"2025. 9. 7",札幌,2札6,2勝,旭川特別･2勝,3,4,トーセンサウダージ,牡,5,古川吉洋, 58 ,14,4,１, ,ダ1700,稍,,(美),杉浦宏昭,1453,-0.3,12,8,3,36.6,528,-2,
,"2025. 9. 7",札幌,2札6,1勝,１勝ｸﾗｽ,8,15,ブルーアイドガール,牝,4,小林美駒,53▲,16,1,１, ,芝1200,稍,,(栗),吉岡辰弥,1100,-0.2,,5,4,35.1,462,+4,
,"2025. 9. 7",札幌,2札6,1勝,１勝ｸﾗｽ・牝,7,11,トゥルブレンツ,牝,5,舟山瑠泉,53▲,13,7,１, ,芝1800,稍,,(栗),小栗実,1508,-0.1,11,4,2,38.2,442,-4,
,"2025. 9. 7",札幌,2札6,1勝,１勝ｸﾗｽ,6,8,サードウインド,牝,3,丹内祐次, 54 ,12,3,１, ,ダ1000,稍,,(美),西田雄一,0589,-0.1,,1,1,35.4,446,+2,
,"2025. 9. 7",札幌,2札6,未勝利,未勝利,5,8,ドゥラエテルノ,牡,3,浜中俊, 57 ,14,3,１, ,ダ1700,稍,,(栗),武幸四郎,1462,-0.0,9,2,2,38.6,472,-4,
,"2025. 9. 7",札幌,2札6,未勝利,未勝利,5,10,グリフォン,牝,3,斎藤新, 55 ,16,6,１, ,芝1200,稍,,(栗),小椋研介,1105,-0.1,,2,2,35.8,424,-2,
,"2025. 9. 7",札幌,2札6,未勝利,未勝利・牝,6,10,カスバートテソーロ,牝,3,丹内祐次, 55 ,14,1,１, ,ダ1700,稍,,(美),畠山吉宏,1459,-0.6,10,1,1,38.2,442,-4,
